tick,iso8601,date,location type,location coordinates,agent infected,age of agent infected,activity of agent infected,agent responsible,age of agent responsible,activity of agent responsible
84,02/23/2020T14:00:00 ,2020-02-23,House,"(4054332.4006300448, 2936124.8003232)",a0f01d5c02b2453ba4ac64d54b6566f4,34,House,4d38b3071d14446cbec2b94fa8baf187,46,House
92,02/23/2020T15:20:00 ,2020-02-23,Public Transport,"(4023993.4232518207, 2946559.1950417645)",9e3b4a5345524e8eb1a2840c4a044c00,64,Public Transport,9b06b34d315e41c6b7e38712e6515fb7,18,Public Transport
101,02/23/2020T16:50:00 ,2020-02-23,Restaurant,"(4042103.9118717555, 2960230.424744184)",ef094847aa6e48c8aa13a274a8bd41de,18,Restaurant,fa1de712fe1e436fa4f2fe9b414bc888,57,Work
122,02/23/2020T20:20:00 ,2020-02-23,Restaurant,"(4038962.4563278686, 2951030.375400467)",515fd4ffd05f46598629e5c591c7ca6c,25,Restaurant,03d11daaeb7f4a5ab224d5dd70f65849,31,Restaurant
142,02/23/2020T23:40:00 ,2020-02-23,House,"(4039592.252380653, 2953446.0348528586)",797e025f953e41bd8863aae3c1548ac0,73,House,14fd738000614a7ba67d34aa375c6453,78,House
189,02/24/2020T07:30:00 ,2020-02-24,House,"(4029755.5147012775, 3006534.3466434195)",cf43cd9fff1e4c56b047138df9e01ad1,57,House,b46606724345468f903aae0c91c761ec,32,House
278,02/24/2020T22:20:00 ,2020-02-24,Cinema or Theatre,"(4050929.2032989333, 2939190.690946125)",2a587cbc13ff46d6a5826875880e1b40,65,Cinema or Theatre,fd74dfd2ee4e4211a47639a9b52de1b1,45,Cinema or Theatre
329,02/25/2020T06:50:00 ,2020-02-25,House,"(4015521.055437135, 2977829.985402674)",b0592b2fb52f4d84b0130fb1074c81fe,36,House,399ad6fa214644eeb7f7cdb16220f35f,0,House
337,02/25/2020T08:10:00 ,2020-02-25,Hospital,"(4042258.9607014074, 2950931.6351770703)",39f152c0c24f471cbf64f3b46301b626,44,Work,2ebf6f228bff4501ad13c67faf380de5,57,Work
347,02/25/2020T09:50:00 ,2020-02-25,OW Manufacturing,"(4040052.0099474676, 2950381.0010385406)",512d17e10111411c857b0d9723c8900f,57,Work,e2fc1b5eed4b4cdf8a51468e32336437,34,Work
347,02/25/2020T09:50:00 ,2020-02-25,OW Finance,"(4030231.5301471874, 2943571.700707708)",64d7a703a59742eaa774ade2842875b2,56,Work,fd74dfd2ee4e4211a47639a9b52de1b1,45,Work
348,02/25/2020T10:00:00 ,2020-02-25,OW Technical,"(4031507.305529967, 2949760.7461002446)",e65d901f29094b6680f67aa95479f620,16,Work,f4ce7194b04b49f1852b488cee80efe4,45,Work
358,02/25/2020T11:40:00 ,2020-02-25,OW Transport,"(4026209.675421761, 2945504.0367978895)",8f581970bb604576bcc3c676bdbd7d33,51,Work,3afe16cf962f45a7a29507a69b8548c6,35,Work
361,02/25/2020T12:10:00 ,2020-02-25,OW Manufacturing,"(4040052.0099474676, 2950381.0010385406)",802edd8a81934f97970668e408fdb1dc,49,Work,e2fc1b5eed4b4cdf8a51468e32336437,34,Work
371,02/25/2020T13:50:00 ,2020-02-25,OW Administration,"(4035314.4849345707, 2951241.622288462)",b1d88eb529f34f30a853583343222cd5,48,Work,78a4a5b50ae84048a91ca95ac88a923f,48,Work
372,02/25/2020T14:00:00 ,2020-02-25,OW Finance,"(4045859.8926423737, 2979131.6484528515)",e37aee91bf6f4a27924ac0b8c167404c,47,Work,e39eb9c0d0424130aab955d2d1d4a0d5,46,Work
372,02/25/2020T14:00:00 ,2020-02-25,OW Technical,"(4031507.305529967, 2949760.7461002446)",11dba12030884ed6b01882097dafcdef,53,Work,f4ce7194b04b49f1852b488cee80efe4,45,Work
375,02/25/2020T14:30:00 ,2020-02-25,House,"(4057808.3181893695, 2945664.328064332)",b1d9eefcf4ea4fd7889f07db80a540c1,47,House,aa9c66e7f8724f25aca1a6f156392c77,26,House
379,02/25/2020T15:10:00 ,2020-02-25,OW Finance,"(4045859.8926423737, 2979131.6484528515)",23b76817640449fb902187d8c13e8ff0,32,Work,e39eb9c0d0424130aab955d2d1d4a0d5,46,Work
